id1,id2,activity
d02,d01,great
d03,d01,great
d04,d01,great
d05,d01,great
d06,d01,great
d07,d01,great
d09,d01,great
d10,d01,great
d12,d01,great
d13,d01,great
d14,d01,great
d15,d01,great
d16,d01,great
d17,d01,great
d18,d01,great
d19,d01,great
d21,d01,great
d22,d01,great
d25,d01,great
d26,d01,great
d27,d01,great
d28,d01,great
d29,d01,great
d32,d01,great
d33,d01,great
d35,d01,great
d36,d01,great
d38,d01,great
d40,d01,great
d41,d01,great
d43,d01,great
d44,d01,great
d03,d02,great
d04,d02,great
d05,d02,great
d06,d02,great
d07,d02,great
d09,d02,great
d10,d02,great
d12,d02,great
d13,d02,great
d14,d02,great
d15,d02,great
d16,d02,great
d17,d02,great
d18,d02,great
d19,d02,great
d21,d02,great
d22,d02,great
d25,d02,great
d26,d02,great
d27,d02,great
d28,d02,great
d29,d02,great
d32,d02,great
d33,d02,great
d35,d02,great
d36,d02,great
d38,d02,great
d40,d02,great
d41,d02,great
d43,d02,great
d44,d02,great
d04,d03,great
d05,d03,great
d06,d03,great
d07,d03,great
d09,d03,great
d10,d03,great
d12,d03,great
d13,d03,great
d14,d03,great
d15,d03,great
d16,d03,great
d17,d03,great
d18,d03,great
d19,d03,great
d21,d03,great
d22,d03,great
d25,d03,great
d26,d03,great
d27,d03,great
d28,d03,great
d29,d03,great
d32,d03,great
d33,d03,great
d35,d03,great
d36,d03,great
d38,d03,great
d40,d03,great
d41,d03,great
d43,d03,great
d44,d03,great
d09,d04,great
d10,d04,great
d12,d04,great
d13,d04,great
d14,d04,great
d15,d04,great
d16,d04,great
d17,d04,great
d18,d04,great
d19,d04,great
d21,d04,great
d22,d04,great
d25,d04,great
d26,d04,great
d27,d04,great
d28,d04,great
d29,d04,great
d32,d04,great
d33,d04,great
d35,d04,great
d36,d04,great
d38,d04,great
d40,d04,great
d41,d04,great
d43,d04,great
d44,d04,great
d09,d05,great
d10,d05,great
d12,d05,great
d13,d05,great
d14,d05,great
d15,d05,great
d16,d05,great
d17,d05,great
d18,d05,great
d19,d05,great
d21,d05,great
d22,d05,great
d25,d05,great
d26,d05,great
d27,d05,great
d28,d05,great
d29,d05,great
d32,d05,great
d33,d05,great
d35,d05,great
d36,d05,great
d38,d05,great
d40,d05,great
d41,d05,great
d43,d05,great
d44,d05,great
d09,d06,great
d10,d06,great
d12,d06,great
d13,d06,great
d14,d06,great
d15,d06,great
d16,d06,great
d17,d06,great
d18,d06,great
d19,d06,great
d21,d06,great
d22,d06,great
d25,d06,great
d26,d06,great
d27,d06,great
d28,d06,great
d29,d06,great
d32,d06,great
d33,d06,great
d35,d06,great
d36,d06,great
d38,d06,great
d40,d06,great
d41,d06,great
d43,d06,great
d44,d06,great
d12,d07,great
d13,d07,great
d14,d07,great
d15,d07,great
d16,d07,great
d17,d07,great
d18,d07,great
d19,d07,great
d21,d07,great
d22,d07,great
d25,d07,great
d26,d07,great
d27,d07,great
d28,d07,great
d29,d07,great
d32,d07,great
d33,d07,great
d35,d07,great
d36,d07,great
d38,d07,great
d40,d07,great
d41,d07,great
d43,d07,great
d44,d07,great
d12,d09,great
d13,d09,great
d14,d09,great
d15,d09,great
d16,d09,great
d17,d09,great
d18,d09,great
d19,d09,great
d21,d09,great
d22,d09,great
d25,d09,great
d26,d09,great
d27,d09,great
d28,d09,great
d29,d09,great
d32,d09,great
d33,d09,great
d35,d09,great
d36,d09,great
d38,d09,great
d40,d09,great
d41,d09,great
d43,d09,great
d44,d09,great
d13,d10,great
d14,d10,great
d15,d10,great
d16,d10,great
d17,d10,great
d18,d10,great
d19,d10,great
d21,d10,great
d22,d10,great
d25,d10,great
d26,d10,great
d27,d10,great
d28,d10,great
d29,d10,great
d32,d10,great
d33,d10,great
d35,d10,great
d36,d10,great
d38,d10,great
d40,d10,great
d41,d10,great
d43,d10,great
d44,d10,great
d17,d12,great
d18,d12,great
d19,d12,great
d21,d12,great
d22,d12,great
d25,d12,great
d26,d12,great
d27,d12,great
d28,d12,great
d29,d12,great
d32,d12,great
d33,d12,great
d35,d12,great
d36,d12,great
d38,d12,great
d40,d12,great
d41,d12,great
d43,d12,great
d44,d12,great
d17,d13,great
d18,d13,great
d19,d13,great
d21,d13,great
d22,d13,great
d25,d13,great
d26,d13,great
d27,d13,great
d28,d13,great
d29,d13,great
d32,d13,great
d33,d13,great
d35,d13,great
d36,d13,great
d38,d13,great
d40,d13,great
d41,d13,great
d43,d13,great
d44,d13,great
d18,d14,great
d19,d14,great
d21,d14,great
d22,d14,great
d25,d14,great
d26,d14,great
d27,d14,great
d28,d14,great
d29,d14,great
d32,d14,great
d33,d14,great
d35,d14,great
d36,d14,great
d38,d14,great
d40,d14,great
d41,d14,great
d43,d14,great
d44,d14,great
d21,d15,great
d22,d15,great
d25,d15,great
d26,d15,great
d27,d15,great
d28,d15,great
d29,d15,great
d32,d15,great
d33,d15,great
d35,d15,great
d36,d15,great
d38,d15,great
d40,d15,great
d41,d15,great
d43,d15,great
d44,d15,great
d19,d16,great
d21,d16,great
d22,d16,great
d25,d16,great
d26,d16,great
d27,d16,great
d28,d16,great
d29,d16,great
d32,d16,great
d33,d16,great
d35,d16,great
d36,d16,great
d38,d16,great
d40,d16,great
d41,d16,great
d43,d16,great
